type,properties/編號,properties/駐在所,properties/現今行,properties/經度,properties/緯度,properties/標高m,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,1,圓山駐在所（圓山駐在所）,宜蘭縣大同鄉,121.554097,24.638949,215,Point,121.554097,24.638949
Feature,2,芃芃溪駐在所（ボンボン溪駐在所）,宜蘭縣大同鄉,121.526151,24.617595,448,Point,121.526151,24.617595
Feature,3,魯肉駐在所（タポー駐在所）,宜蘭縣大同鄉,121.496512,24.573021,350,Point,121.496512,24.573021
Feature,4,留茂安駐在所（リモアン駐在所）,宜蘭縣大同鄉,121.451567,24.531761,606,Point,121.451567,24.531761
Feature,5,四季薰駐在所（シキクン駐在所）,宜蘭縣大同鄉,121.426596,24.487537,758,Point,121.426596,24.487537
Feature,6,馬諾源駐在所（マナウヤン駐在所）,宜蘭縣大同鄉,121.402571,24.46644,835,Point,121.402571,24.46644
Feature,7,比亞南、匹亞南駐在所（ピヤナン駐在所）,宜蘭縣大同鄉,121.379317,24.436999,1212,Point,121.379317,24.436999
Feature,8,比亞毫駐在所（ピヤハウ駐在所）,宜蘭縣南澳鄉,121.537416,24.417588,936,Point,121.537416,24.417588
Feature,9,九芎湖駐在所（九芎湖駐在所）,宜蘭縣三星鄉,121.606386,24.65635,150,Point,121.606386,24.65635
Feature,10,松羅駐在所（松羅溪駐在所）,宜蘭縣大同鄉,121.578175,24.656572,168,Point,121.578175,24.656572
Feature,11,浪速駐在所（浪速駐在所）,宜蘭縣南澳鄉,121.817816,24.461908,25,Point,121.817816,24.461908
Feature,12,烏石鼻駐在所（烏石鼻駐在所）,宜蘭縣蘇澳鎮,121.841763,24.484992,515,Point,121.841763,24.484992
Feature,13,粉鳥林駐在所（粉鳥林駐在所）,宜蘭縣蘇澳鎮,121.834124,24.49003,310,Point,121.834124,24.49003
Feature,14,東澳駐在所（東澳駐在所）,宜蘭縣蘇澳鎮,121.834726,24.511694,23,Point,121.834726,24.511694
Feature,15,烏岩角駐在所（烏岩角駐在所）,宜蘭縣蘇澳鎮,121.862196,24.533388,330,Point,121.862196,24.533388
Feature,16,猴猴溪駐在所（猴猴溪駐在所）,宜蘭縣蘇澳鎮,121.86623,24.552048,290,Point,121.86623,24.552048
Feature,17,圳尾溪駐在所（圳尾溪駐在所）,宜蘭縣蘇澳鎮,121.85777,24.576662,30,Point,121.85777,24.576662
Feature,18,左右山駐在所（左右山駐在所）,宜蘭縣南澳鄉,121.784099,24.460097,35,Point,121.784099,24.460097
Feature,19,古魯駐在所（スタヤン駐在所）,宜蘭縣大同鄉,121.678398,24.584487,360,Point,121.678398,24.584487
Feature,20,巴博凱凱駐在所（バボーカイカイ駐在所）,宜蘭縣南澳鄉,121.582847,24.389464,850,Point,121.582847,24.389464
Feature,21,烏母雅烏駐在所（ウムーヤウ駐在所）,宜蘭縣南澳鄉,121.575702,24.40074,870,Point,121.575702,24.40074
Feature,22,庫魯基夫駐在所（クルゲーフ駐在所）,宜蘭縣南澳鄉,121.604273,24.438493,680,Point,121.604273,24.438493
Feature,23,塔貝賴駐在所（トペラ駐在所）,宜蘭縣南澳鄉,121.613714,24.452011,970,Point,121.613714,24.452011
Feature,24,闊闊斯駐在所（コーゴツ/コーコツ駐在所）,宜蘭縣南澳鄉,121.637168,24.418077,1000,Point,121.637168,24.418077
Feature,25,塔壁罕駐在所（タビヤハン駐在所）,宜蘭縣南澳鄉,121.681778,24.442947,610,Point,121.681778,24.442947
Feature,26,哈卡巴里斯駐在所（ハガパリシ駐在所）,宜蘭縣南澳鄉,121.613671,24.44658,890,Point,121.613671,24.44658
Feature,27,姑姑子駐在所（グークツ駐在所）,宜蘭縣南澳鄉,121.739713,24.266226,15,Point,121.739713,24.266226
Feature,28,舊武塔駐在所（ブター駐在所）,宜蘭縣南澳鄉,121.6776798,24.452288,515,Point,121.6776798,24.452288
