type,properties/編號,properties/駐在所,properties/現今行政區,properties/經度,properties/緯度,properties/標高m,type,x,y
Feature,1,九芎湖駐在所（九芎湖駐在所）,宜蘭縣三星鄉,121.606386,24.65635,150,Point,121.606386,24.65635
Feature,2,崙碑子駐在所（崙碑子駐在所）,宜蘭縣大同鄉,121.605946,24.68275,161,Point,121.605946,24.68275
Feature,3,松羅駐在所（ショウラ駐在所）,宜蘭縣大同鄉,121.578175,24.656572,168,Point,121.578175,24.656572
Feature,4,圓山駐在所（圓山駐在所）,宜蘭縣大同鄉,121.554097,24.638949,215,Point,121.554097,24.638949
Feature,5,牛鬥駐在所（牛衝鬥/ギュウトウ駐在所）,宜蘭縣大同鄉,121.569541,24.640807,193,Point,121.569541,24.640807
Feature,6,東壘駐在所（トールイ駐在所）,宜蘭縣大同鄉,121.547817,24.616335,485,Point,121.547817,24.616335
Feature,7,濁水駐在所（濁水駐在所）,宜蘭縣大同鄉,121.530721,24.604176,242,Point,121.530721,24.604176
Feature,8,瑪崙駐在所（バヌン駐在所）,宜蘭縣大同鄉,121.530053,24.599015,273,Point,121.530053,24.599015
Feature,9,芃芃、盆盆駐在所（ボンボン駐在所）,宜蘭縣大同鄉,121.526151,24.617595,448,Point,121.526151,24.617595
Feature,10,婆羅山駐在所（パラ山駐在所）,宜蘭縣大同鄉,121.478336,24.639804,1375,Point,121.478336,24.639804
Feature,11,水源地駐在所（水源地駐在所）,宜蘭縣大同鄉,121.466363,24.621352,1640,Point,121.466363,24.621352
Feature,12,漆崎駐在所（漆崎駐在所）,宜蘭縣大同鄉,121.47795,24.627321,1530,Point,121.47795,24.627321
Feature,13,歧路駐在所（歧路駐在所）,宜蘭縣大同鄉,121.512445,24.633317,530,Point,121.512445,24.633317
Feature,14,小林駐在所（小林駐在所）,宜蘭縣大同鄉,121.514054,24.659841,667,Point,121.514054,24.659841
Feature,15,瀧上駐在所（瀧ノ上駐在所）,宜蘭縣大同鄉,121.505728,24.652002,879,Point,121.505728,24.652002
Feature,16,大正駐在所（大正駐在所）,宜蘭縣大同鄉,121.493412,24.65126,970,Point,121.493412,24.65126
Feature,17,池端駐在所（池ノ端駐在所）,宜蘭縣大同鄉,121.47455,24.651319,1151,Point,121.47455,24.651319
Feature,18,田丸駐在所（田丸駐在所）,宜蘭縣大同鄉,121.460641,24.648681,1091,Point,121.460641,24.648681
Feature,19,西村駐在所（西村駐在所）,宜蘭縣大同鄉,121.445081,24.642355,1106,Point,121.445081,24.642355
Feature,20,土場駐在所（土場駐在所）,宜蘭縣大同鄉,121.496269,24.560692,498,Point,121.496269,24.560692
Feature,21,鳩之澤駐在所（鳩ノ澤駐在所）,宜蘭縣大同鄉,121.508233,24.545383,535,Point,121.508233,24.545383
Feature,22,十字路駐在所（十字路駐在所）,宜蘭縣大同鄉,121.49309,24.54653,900,Point,121.49309,24.54653
Feature,23,神代谷駐在所（神代谷駐在所）,宜蘭縣大同鄉,121.48691,24.526268,1010,Point,121.48691,24.526268
Feature,24,太平山駐在所（太平山駐在所）,宜蘭縣大同鄉,121.485236,24.503718,1454,Point,121.485236,24.503718
Feature,25,嘉蘭灣駐在所（カナウラン駐在所）,宜蘭縣大同鄉,121.486223,24.546607,1055,Point,121.486223,24.546607
Feature,26,多望溪駐在所（源/タモン溪駐在所）,宜蘭縣大同鄉,121.504637,24.49225,1665,Point,121.504637,24.49225
Feature,27,烏帽子駐在所（エボシ山駐在所）,宜蘭縣大同鄉,121.478136,24.574742,348,Point,121.478136,24.574742
Feature,28,留茂安駐在所（リモアン駐在所）,宜蘭縣大同鄉,121.451567,24.531761,606,Point,121.451567,24.531761
Feature,29,加納富駐在所（カラッブ駐在所）,宜蘭縣大同鄉,121.448075,24.521165,697,Point,121.448075,24.521165
Feature,30,四季薰駐在所（シキクン駐在所）,宜蘭縣大同鄉,121.426596,24.487537,758,Point,121.426596,24.487537
Feature,31,庫霞駐在所（クッシャ駐在所）,宜蘭縣大同鄉,121.45453,24.48504,1633,Point,121.45453,24.48504
Feature,32,姆魯羅阿夫駐在所（ムルロアフ/加羅山駐在所）,宜蘭縣南澳鄉,121.47563,24.47002,2303,Point,121.47563,24.47002
Feature,33,馬諾源駐在所（マナウヤン駐在所）,宜蘭縣大同鄉,121.402571,24.46644,835,Point,121.402571,24.46644
Feature,34,路邊駐在所（路邊駐在所）,宜蘭縣大同鄉,121.410553,24.466303,860,Point,121.410553,24.466303
Feature,35,米羅駐在所（メラ駐在所）,宜蘭縣大同鄉,121.395296,24.44917,1045,Point,121.395296,24.44917
Feature,36,比亞南、匹亞南駐在所（ピヤナン駐在所）,宜蘭縣大同鄉,121.379317,24.436999,1212,Point,121.379317,24.436999
Feature,37,耶克糾駐在所（右岸/エキジュウ溪駐在所）,宜蘭縣大同鄉,121.378103,24.420333,1045,Point,121.378103,24.420333
