peak_x,peak_y,check,peak_h,peak_name,prominence,col_x,col_y,col_h,parent_x,parent_y,parent_h,parent_name,remark
120.95728,23.47,23.47 120.95728,3952,玉山,3952,,,,,,,,0
121.2319,24.3831,24.3831 121.2319,3878,雪山,1928,121.3564,24.3964,1950,120.95728,23.47,3952,玉山,0
121.3219,23.1397,23.1397 121.3219,1676,麻荖漏山,1408,121.2172,23.1017,268,120.95728,23.47,3952,玉山,0
120.7614,22.6269,22.6269 120.7614,3077,北大武山,1397,120.8456,22.7136,1680,120.95728,23.47,3952,玉山,0
121.4392,24.3619,24.3619 121.4392,3735,南湖大山,1241,121.2392,23.8411,2494,120.95728,23.47,3952,玉山,0
121.1089,24.2025,24.2025 121.1089,3336,白姑大山,1206,121.2031,24.2228,2130,120.95728,23.47,3952,玉山,0
121.5533,25.1708,25.1708 121.5533,1109,七星山,1054,121.7389,25.1106,55,120.95728,23.47,3952,玉山,0
121.0572,23.4967,23.4967 121.0572,3825,秀姑巒山,1017,120.9958,23.4906,2808,120.95728,23.47,3952,玉山,0
120.9117,23.2269,23.2269 120.9117,3656,關山P,1009,121.0297,23.4206,2647,120.95728,23.47,3952,玉山,0
120.9722,23.8394,23.8394 120.9722,2121,,980,121.1308,24.0189,1141,120.95728,23.47,3952,玉山,1
121.4497,24.7050,24.7050 121.4497,2131,,974,121.4700,24.6528,1157,120.95728,23.47,3952,玉山,1
121.3347,24.1181,24.1181 121.3347,3593,奇萊北峰,958,121.3086,24.1811,2635,121.4392,24.3619,3735,南湖大山,0
121.1158,23.8344,23.8344 121.1158,3359,卓社大山,875,121.2200,23.8361,2484,120.95728,23.47,3952,玉山,0
121.0919,23.6267,23.6267 121.0919,3607,東郡大山,832,121.1508,23.5467,2775,120.95728,23.47,3952,玉山,0
121.5675,24.7972,24.7972 121.5675,1458,,807,121.5892,24.7597,651,120.95728,23.47,3952,玉山,1
121.0503,24.0453,24.0453 121.0503,2417,,778,121.1544,24.0847,1639,120.95728,23.47,3952,玉山,1
121.3728,24.5939,24.5939 121.3728,2440,泰矢生山,760,121.4125,24.5758,1680,120.95728,23.47,3952,玉山,0
120.8381,23.8550,23.8550 120.8381,1388,集集大山,754,120.9131,23.9036,634,120.95728,23.47,3952,玉山,0
121.7608,24.5375,24.5375 121.7608,1471,蘭崁山,746,121.7264,24.5728,725,120.95728,23.47,3952,玉山,0
121.4889,23.5447,23.5447 121.4889,913,八里灣,743,121.3964,23.6000,170,120.95728,23.47,3952,玉山,2
120.9758,23.3536,23.3536 120.9758,3559,雲峰,730,121.0311,23.3378,2829,120.9117,23.2269,3656,關山P,0
121.6911,24.3908,24.3908 121.6911,1854,飯包山,710,121.6597,24.4225,1144,120.95728,23.47,3952,玉山,0
121.2811,24.1811,24.1811 121.2811,3419,北合歡山P,707,121.3125,24.1203,2712,121.3347,24.1181,3593,奇萊北峰,0
120.7328,22.1639,22.1639 120.7328,1056,里龍山,707,120.8672,22.2122,349,120.95728,23.47,3952,玉山,0
120.9628,23.5772,23.5772 120.9628,3270,郡大山,690,120.9997,23.5019,2580,120.95728,23.47,3952,玉山,0
120.9925,23.2842,23.2842 120.9925,3594,向陽山,679,120.9581,23.2647,2915,120.9117,23.2269,3656,關山P,0
121.1881,22.8950,22.8950 121.1881,1188,都蘭山,676,121.1994,22.9497,512,121.3219,23.1397,1676,麻荖漏山-2,0
120.7828,23.2958,23.2958 120.7828,2475,,648,120.8042,23.3208,1827,120.95728,23.47,3952,玉山,1
120.7869,22.6931,22.6931 120.7869,2727,霧頭山,647,120.7817,22.6547,2080,120.7614,22.6269,3077,北大武山,0
121.4161,24.3100,24.3100 121.4161,3693,中央尖,640,121.4342,24.3225,3053,121.4392,24.3619,3735,南湖大山,0
120.5925,23.2403,23.2403 120.5925,1181,三角南山,630,120.6283,23.2458,551,120.95728,23.47,3952,玉山,0
121.0936,23.6967,23.6967 121.0936,2840,巒潭山,622,121.1250,23.6617,2218,120.95728,23.47,3952,玉山,0
120.9811,23.7447,23.7447 120.9811,2905,治茆山,619,120.9692,23.7233,2286,120.95728,23.47,3952,玉山,0
121.5906,24.2094,24.2094 121.5906,2602,三角錐山,594,121.5831,24.2317,2008,120.95728,23.47,3952,玉山,0
121.3847,24.2553,24.2553 121.3847,3444,無名山,594,121.3967,24.2911,2850,121.4392,24.3619,3735,南湖大山,0
